Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
03/11/2025,10306472089,32181933,0.63,0.05,0.04,0.05,0.05,0.09,0.07,0.06,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.07,0.09,0.08,0.09,0.17,0.18,0.21,0.16,0.15,0.19,0.23,0.21,0.39,0.27,0.30,0.28,0.25,0.23,0.22,0.23,0.21,0.22,0.22,0.33,0.28,0.19,0.20,0.32,0.23,0.23,0.22,0.23,0.08
04/11/2025,10306472089,32181933,0.24,0.22,0.21,0.19,0.20,0.20,0.19,0.21,0.20,0.20,0.21,0.19,0.20,0.19,0.20,0.24,0.19,0.20,0.17,0.17,0.13,0.15,0.17,0.16,0.18,0.38,0.18,0.02,0.06,0.66,0.10,0.64,0.10,0.10,0.08,0.05,0.07,0.05,0.29,0.60,0.11,0.08,0.13,0.10,0.12,0.11,0.08,0.25
05/11/2025,10306472089,32181933,0.04,0.06,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.06,0.04,0.05,0.06,0.05,0.05,0.04,0.06,0.05,0.03,0.05,0.04,0.05,0.02,0.00,0.03,0.03,0.04,0.15,0.04,0.08,0.06,0.06,0.05,0.11,0.10,0.10,0.11,0.05,0.05,0.08,0.23,0.28,0.43,0.72,0.28,0.07
06/11/2025,10306472089,32181933,0.20,0.20,0.20,0.19,0.21,0.19,0.21,0.20,0.20,0.21,0.19,0.21,0.19,0.20,0.19,0.04,0.11,0.10,0.07,0.09,0.03,0.02,0.00,0.12,0.04,0.12,0.03,0.05,0.03,0.03,0.03,0.04,0.05,0.05,0.11,0.13,0.16,0.13,0.14,0.08,0.04,0.05,0.18,0.32,0.12,0.11,0.10,0.76
07/11/2025,10306472089,32181933,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.06,0.04,0.05,0.03,0.01,0.01,0.01,0.00,0.02,0.17,0.15,0.23,0.50,0.09,0.64,0.08,0.11,0.09,0.11,0.12,0.15,0.15,0.14,0.11,0.11,0.13,0.10,0.10,0.10,0.05,0.06,0.04
08/11/2025,10306472089,32181933,0.04,0.05,0.03,0.05,0.05,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.13,0.17,0.04,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.07,0.57,0.15,1.07,0.15,0.11,0.12,0.09,0.08,0.08,0.07,0.11,0.10,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.04
09/11/2025,10306472089,32181933,0.06,0.05,0.04,0.04,0.05,0.04,0.04,0.06,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.75,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.07,0.11,0.10,0.72,0.70,0.71,0.16,0.79,0.20,0.18,0.12,0.60,0.71,0.12,0.11,0.10,0.11,0.09,0.05
10/11/2025,10306472089,32181933,0.07,0.05,0.06,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.06,0.04,0.06,0.08,0.15,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.04,0.06,0.05,0.05,0.14,0.21,0.07,0.07,0.07,0.07,0.07,0.06,0.74,0.06,0.06,0.06,0.06,0.05,0.11
11/11/2025,10306472089,32181933,0.08,0.09,0.07,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.06,0.04,0.06,0.12,0.09,0.11,0.09,0.08,0.07,0.08,0.08,0.06,0.06,0.04,0.02,0.66,0.08,0.66,0.07,0.06,0.14,0.05,0.07,0.05,0.07,0.05,0.08,0.08,0.09,0.08,0.10,0.08,0.05,0.06,0.06
12/11/2025,10306472089,32181933,0.08,0.06,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.05,0.06,0.05,0.07,0.05,0.08,0.14,0.09,0.07,0.09,0.02,0.03,0.04,0.02,0.05,0.06,0.26,0.07,0.07,0.06,0.11,0.12,0.09,0.07,0.05,0.06,0.04,0.06,0.06,0.50,0.07,0.81,0.12,0.08,0.09,0.09,0.06,0.04
13/11/2025,10306472089,32181933,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.07,0.06,0.06,0.07,0.08,0.14,0.05,0.01,0.01,0.01,0.03,0.00,0.02,0.02,0.03,0.21,0.01,0.05,0.05,0.06,0.07,0.06,0.05,0.04,0.06,0.05,0.08,0.73,0.24,0.09,0.06,0.06,0.06,0.13,0.71,0.11,0.03
14/11/2025,10306472089,32181933,0.07,0.06,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.06,0.05,0.06,0.11,0.07,0.77,0.09,0.13,0.11,0.72,1.30,1.07,0.24,0.08,0.99,0.23,0.07,0.06,0.10,0.08,0.09,0.09,0.10,0.09,0.07,0.07,0.06,0.36,0.86,0.31,0.10,0.09,0.11,0.09,0.67
15/11/2025,10306472089,32181933,0.09,0.06,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.03,0.05,0.06,0.05,0.05,0.04,0.07,0.00,0.00,0.02,0.00,0.00,0.01,0.22,1.11,0.65,0.68,0.05,0.59,0.05,0.06,0.06,0.06,0.06,0.11,0.27,0.41,0.62,0.25,0.06,0.10,0.11,0.12,0.12,0.11,0.11
16/11/2025,10306472089,32181933,0.10,0.08,0.08,0.07,0.07,0.07,0.06,0.04,0.07,0.08,0.05,0.04,0.04,0.07,0.05,0.06,0.04,0.02,0.02,0.05,0.06,0.21,1.02,0.38,0.07,0.58,0.69,0.05,0.03,0.04,0.04,0.04,0.05,0.04,0.06,0.17,0.17,0.23,0.32,0.50,0.85,0.76,0.50,0.89,0.27,0.65,0.34,0.11
17/11/2025,10306472089,32181933,0.15,0.14,0.15,0.16,0.17,0.16,0.15,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.17,0.19,0.17,0.16,0.11,0.00,0.00,0.00,0.01,0.00,0.00,0.07,0.05,0.01,0.04,0.07,0.11,0.07,0.07,0.07,0.09,0.14,0.20,0.25,0.07,0.07,0.08,0.80,0.64,0.24,0.10,0.64,0.09,0.19
18/11/2025,10306472089,32181933,0.24,0.05,0.05,0.03,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.06,0.08,0.08,0.06,0.12,0.02,0.01,0.00,0.00,0.01,0.01,0.15,0.01,0.03,0.02,0.04,0.05,0.09,0.11,0.11,0.10,0.09,0.11,0.10,0.11,0.31,0.14,0.22,0.13,0.15,0.15,0.56,0.34,0.21,0.45
19/11/2025,10306472089,32181933,0.05,0.04,0.05,0.03,0.05,0.05,0.03,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.04,0.01,0.01,0.01,0.04,0.01,0.02,0.00,0.00,0.15,0.00,0.02,0.02,0.06,0.09,0.07,0.06,0.06,0.09,0.10,0.11,0.08,0.08,0.08,0.10,0.07,0.08,0.07,0.53,0.25,0.49
20/11/2025,10306472089,32181933,0.58,0.04,0.05,0.04,0.05,0.05,0.15,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.06,0.04,0.05,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.01,0.06,0.11,0.09,0.08,0.10,0.09,0.06,0.21,0.07,0.07,0.10,0.19,0.14,0.10,0.21,0.13,0.69,0.23
21/11/2025,10306472089,32181933,0.67,0.04,0.06,0.05,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.06,0.07,0.05,0.04,0.08,0.05,0.01,0.00,0.00,0.01,0.02,0.02,0.00,0.07,0.02,0.02,0.03,0.04,0.07,0.07,0.04,0.05,0.04,0.17,0.06,0.04,0.36,0.15,0.37,0.23,0.12,0.10,0.09,0.06,0.09
22/11/2025,10306472089,32181933,0.05,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.05,0.24,0.47,0.07,0.01,0.70,0.74,0.00,0.47,1.66,0.41,0.72,0.12,0.07,0.15,0.19,0.08,0.08,0.09,0.09,0.10,0.53,1.89,1.31,0.22,0.18,0.20,0.17,0.18,0.18,0.05
23/11/2025,10306472089,32181933,0.18,0.19,0.18,0.16,0.18,0.17,0.12,0.13,0.13,0.15,0.14,0.11,0.13,0.14,0.13,0.13,0.11,0.08,0.07,0.05,0.01,0.01,0.01,0.03,0.71,0.69,0.77,0.36,0.35,0.19,0.18,0.17,0.08,0.04,0.09,0.06,0.05,0.05,0.05,0.08,0.17,0.34,0.64,0.12,0.70,0.13,0.09,0.17
24/11/2025,10306472089,32181933,0.07,0.04,0.05,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.03,0.05,0.04,0.11,0.10,0.08,0.02,0.00,0.00,0.01,0.03,0.02,0.04,0.03,0.04,0.01,0.06,0.08,0.09,0.06,0.07,0.07,0.07,0.10,0.09,0.12,0.20,0.38,0.52,0.21,0.11,0.10,0.10,0.15,0.07,0.08
25/11/2025,10306472089,32181933,0.05,0.05,0.05,0.03,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.08,0.06,0.07,0.08,0.11,0.03,0.01,0.04,0.04,0.08,0.02,0.01,0.00,0.00,0.00,0.01,0.02,0.03,0.16,0.03,0.05,0.04,0.08,0.07,0.06,0.18,0.18,0.07,0.06,0.06,0.06,0.08,0.07,0.05,0.05
26/11/2025,10306472089,32181933,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.06,0.05,0.05,0.06,0.04,0.05,0.07,0.06,0.10,0.10,0.10,0.12,0.11,0.08,0.10,0.15,0.11,0.11,0.11,0.33,0.14,0.08,0.45,0.42,0.19,0.62,0.06,0.06,0.06,0.11,0.55,0.33,0.38,0.62,1.13,0.16,0.13,0.14,0.10,0.09,0.05
27/11/2025,10306472089,32181933,0.04,0.04,0.05,0.03,0.05,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.06,0.20,1.21,0.50,0.12,0.13,0.13,0.15,0.15,0.13,0.37,0.11,0.06,0.60,0.05,0.57,0.04,0.04,0.03,0.06,0.05,0.07,0.05,0.06,0.13,0.22,0.05,0.09,1.00,0.60,0.14,0.08,0.06,0.08
28/11/2025,10306472089,32181933,0.05,0.05,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.05,0.03,0.04,0.04,0.04,0.06,0.05,0.04,0.08,0.15,0.03,0.02,0.13,0.03,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.03,0.04,0.04,0.06,0.05,0.03,0.06,0.06,0.07,0.08,0.37,1.06,0.24,0.11,0.12,0.94,0.15,0.05
29/11/2025,10306472089,32181933,0.31,0.08,0.06,0.03,0.04,0.04,0.03,0.04,0.04,0.03,0.05,0.04,0.03,0.04,0.05,0.04,0.04,0.06,0.05,0.07,0.02,0.07,0.03,0.03,0.00,0.00,0.00,0.01,0.03,0.02,0.03,0.05,0.05,0.05,0.07,0.07,0.06,0.09,0.22,0.56,0.09,0.64,0.05,0.05,0.19,0.20,0.04,0.57
30/11/2025,10306472089,32181933,0.06,0.06,0.08,0.04,0.06,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.06,0.05,0.01,0.00,0.01,0.10,0.04,0.05,0.03,0.14,0.09,0.05,0.24,0.55,0.13,0.74,0.13,0.13,0.23,0.10,0.50,0.55,0.08,0.57,0.22,0.05,0.04,0.07,0.08,0.07,0.05,0.05,0.06
01/12/2025,10306472089,32181933,0.07,0.06,0.04,0.05,0.06,0.04,0.06,0.05,0.05,0.06,0.04,0.05,0.05,0.04,0.07,0.08,0.06,0.07,0.04,0.04,0.08,0.05,0.10,0.06,0.08,0.07,0.08,0.83,0.25,0.10,0.11,0.08,0.06,0.06,0.05,0.07,0.06,0.08,0.08,0.16,0.06,0.04,0.06,0.06,0.08,0.05,0.06,0.06
02/12/2025,10306472089,32181933,0.05,0.05,0.03,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.06,0.05,0.04,0.07,0.07,0.08,0.09,0.08,0.05,0.03,0.01,0.00,0.02,0.00,0.01,0.07,0.00,0.00,0.01,0.06,0.11,0.09,0.07,0.04,0.06,0.05,0.05,0.18,1.31,0.14,0.10,0.70,0.15,0.48,0.34,0.14,0.06,0.04
03/12/2025,10306472089,32181933,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.03,0.04,0.05,0.02,0.00,0.01,0.01,0.00,0.00,0.01,0.29,1.36,0.18,1.16,0.07,0.09,0.46,0.84,0.24,0.20,0.21,0.20,0.05,0.06,0.92,0.56,0.30,0.17,0.09,0.07,0.07,0.04,0.05
04/12/2025,10306472089,32181933,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.08,0.01,0.01,0.04,0.02,0.04,0.05,0.04,0.06,0.06,0.09,0.13,0.09,0.21,0.07,0.07,0.36,0.07,0.06,0.06,0.05,0.05
05/12/2025,10306472089,32181933,0.05,0.03,0.04,0.03,0.03,0.05,0.04,0.04,0.05,0.04,0.03,0.05,0.05,0.05,0.06,0.09,0.11,0.20,0.09,0.09,0.08,0.08,0.15,0.02,0.09,0.04,0.04,0.06,0.04,0.07,0.14,0.10,0.11,0.78,0.15,0.68,0.11,0.08,0.08,0.05,0.07,0.12,0.13,0.06,0.07,0.05,0.06,0.06
06/12/2025,10306472089,32181933,0.07,0.07,0.06,0.05,0.04,0.05,0.03,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.77,0.12,0.07,0.29,1.29,1.11,0.53,0.08,0.28,0.04,0.66,0.48,1.49,1.21,0.28,0.48,0.44,0.47,0.45,0.36,0.33,0.27,0.44,0.27,0.34,0.64,0.25,0.09,0.29,0.70,0.12,0.05
07/12/2025,10306472089,32181933,0.72,1.11,0.23,0.21,0.21,0.21,0.21,0.21,0.18,0.19,0.22,0.21,0.19,0.17,0.18,0.17,0.13,0.04,0.06,0.05,0.05,0.05,0.06,0.05,0.10,0.02,0.03,0.04,0.03,0.04,0.33,0.20,0.09,0.09,0.04,0.04,0.08,0.17,0.10,0.14,0.80,0.96,0.20,0.38,0.53,0.14,0.69,0.24
